against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,defense,experience_growth,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_legendary
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75.0,5120.0,70.0,300.0,90.0,1000000.0,0.6,50.0,50.0,27.0,10.0,35.0,40.0,15.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100.0,5120.0,70.0,450.0,120.0,1000000.0,0.6,75.0,50.0,28.0,25.0,65.0,65.0,15.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47.0,5120.0,70.0,275.0,52.0,1059860.0,0.4,55.0,0.0,29.0,40.0,40.0,41.0,7.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62.0,5120.0,70.0,365.0,67.0,1059860.0,0.8,70.0,0.0,30.0,55.0,55.0,56.0,20.0,1.0,0.0
0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92.0,5120.0,70.0,505.0,87.0,1059860.0,1.3,90.0,0.0,31.0,75.0,85.0,76.0,60.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57.0,5120.0,70.0,273.0,40.0,1059860.0,0.5,46.0,100.0,32.0,40.0,40.0,50.0,9.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72.0,5120.0,70.0,365.0,57.0,1059860.0,0.9,61.0,100.0,33.0,55.0,55.0,65.0,19.5,1.0,0.0
0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102.0,5120.0,70.0,505.0,77.0,1059860.0,1.4,81.0,100.0,34.0,85.0,75.0,85.0,62.0,1.0,0.0
0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560.0,140.0,323.0,48.0,800000.0,0.6,70.0,24.6,35.0,60.0,65.0,35.0,7.5,1.0,0.0
0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560.0,140.0,483.0,73.0,800000.0,1.3,95.0,24.6,36.0,95.0,90.0,60.0,40.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41.0,5120.0,70.0,299.0,40.0,1000000.0,0.6,38.0,24.6,37.0,50.0,65.0,65.0,15.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67.0,5120.0,70.0,505.0,75.0,1000000.0,0.6,73.0,24.6,38.0,81.0,100.0,109.0,15.0,1.0,0.0
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560.0,70.0,270.0,20.0,800000.0,0.5,115.0,24.6,39.0,45.0,25.0,20.0,5.5,1.0,0.0
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560.0,70.0,435.0,45.0,800000.0,1.0,140.0,24.6,40.0,85.0,50.0,45.0,12.0,1.0,0.0
0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45.0,3840.0,70.0,245.0,35.0,1000000.0,0.8,40.0,50.0,41.0,30.0,40.0,55.0,7.5,1.0,0.0
0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80.0,3840.0,70.0,455.0,70.0,1000000.0,1.6,75.0,50.0,42.0,65.0,75.0,90.0,55.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50.0,5120.0,70.0,320.0,55.0,1059860.0,0.5,45.0,50.0,43.0,75.0,65.0,30.0,5.4,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65.0,5120.0,70.0,395.0,70.0,1059860.0,0.8,60.0,50.0,44.0,85.0,75.0,40.0,8.6,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80.0,5120.0,70.0,490.0,85.0,1059860.0,1.2,75.0,50.0,45.0,110.0,90.0,50.0,18.6,1.0,0.0
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70.0,5120.0,70.0,285.0,55.0,1000000.0,0.3,35.0,50.0,46.0,45.0,55.0,25.0,5.4,1.0,0.0
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95.0,5120.0,70.0,405.0,80.0,1000000.0,1.0,60.0,50.0,47.0,60.0,80.0,30.0,29.5,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55.0,5120.0,70.0,305.0,50.0,1000000.0,1.0,60.0,50.0,48.0,40.0,55.0,45.0,30.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65.0,5120.0,70.0,450.0,60.0,1000000.0,1.5,70.0,50.0,49.0,90.0,75.0,90.0,12.5,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55.0,5120.0,70.0,265.0,30.0,1000000.0,0.6,10.0,50.0,50.0,35.0,45.0,90.0,15.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100.0,5120.0,70.0,425.0,60.0,1000000.0,0.6,35.0,50.0,51.0,50.0,70.0,110.0,15.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,5120.0,70.0,290.0,35.0,1000000.0,0.6,40.0,50.0,52.0,50.0,40.0,90.0,15.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,5120.0,70.0,440.0,60.0,1000000.0,0.6,65.0,50.0,53.0,75.0,65.0,115.0,15.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52.0,5120.0,70.0,320.0,48.0,1000000.0,0.8,50.0,50.0,54.0,65.0,50.0,55.0,19.6,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82.0,5120.0,70.0,500.0,78.0,1000000.0,1.7,80.0,50.0,55.0,95.0,80.0,85.0,76.6,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80.0,5120.0,70.0,305.0,35.0,1000000.0,0.5,40.0,50.0,56.0,35.0,45.0,70.0,28.0,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105.0,5120.0,70.0,455.0,60.0,1000000.0,1.0,65.0,50.0,57.0,60.0,70.0,95.0,32.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70.0,5120.0,70.0,350.0,45.0,1250000.0,0.7,55.0,75.4,58.0,70.0,50.0,60.0,19.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110.0,5120.0,70.0,555.0,80.0,1250000.0,1.9,90.0,75.4,59.0,100.0,80.0,95.0,155.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50.0,5120.0,70.0,300.0,40.0,1059860.0,0.6,40.0,50.0,60.0,40.0,40.0,90.0,12.4,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65.0,5120.0,70.0,385.0,65.0,1059860.0,1.0,65.0,50.0,61.0,50.0,50.0,90.0,20.0,1.0,0.0
0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95.0,5120.0,70.0,510.0,95.0,1059860.0,1.3,90.0,50.0,62.0,70.0,90.0,70.0,54.0,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20.0,5120.0,70.0,310.0,15.0,1059860.0,0.9,25.0,75.4,63.0,105.0,55.0,90.0,19.5,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35.0,5120.0,70.0,400.0,30.0,1059860.0,1.3,40.0,75.4,64.0,120.0,70.0,105.0,56.5,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50.0,5120.0,70.0,600.0,65.0,1059860.0,1.5,55.0,75.4,65.0,175.0,105.0,150.0,48.0,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80.0,5120.0,70.0,305.0,50.0,1059860.0,0.8,70.0,75.4,66.0,35.0,35.0,35.0,19.5,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100.0,5120.0,70.0,405.0,70.0,1059860.0,1.5,80.0,75.4,67.0,50.0,60.0,45.0,70.5,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130.0,5120.0,70.0,505.0,80.0,1059860.0,1.6,90.0,75.4,68.0,65.0,85.0,55.0,130.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75.0,5120.0,70.0,300.0,35.0,1059860.0,0.7,50.0,50.0,69.0,70.0,30.0,40.0,4.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90.0,5120.0,70.0,390.0,50.0,1059860.0,1.0,65.0,50.0,70.0,85.0,45.0,55.0,6.4,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105.0,5120.0,70.0,490.0,65.0,1059860.0,1.7,80.0,50.0,71.0,100.0,70.0,70.0,15.5,1.0,0.0
0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40.0,5120.0,70.0,335.0,35.0,1250000.0,0.9,40.0,50.0,72.0,50.0,100.0,70.0,45.5,1.0,0.0
0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70.0,5120.0,70.0,515.0,65.0,1250000.0,1.6,80.0,50.0,73.0,80.0,120.0,100.0,55.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80.0,3840.0,70.0,300.0,100.0,1059860.0,0.6,40.0,50.0,74.0,30.0,30.0,20.0,15.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95.0,3840.0,70.0,390.0,115.0,1059860.0,0.6,55.0,50.0,75.0,45.0,45.0,35.0,15.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120.0,3840.0,70.0,495.0,130.0,1059860.0,0.6,80.0,50.0,76.0,55.0,65.0,45.0,15.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85.0,5120.0,70.0,410.0,55.0,1000000.0,1.0,50.0,50.0,77.0,65.0,65.0,90.0,30.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100.0,5120.0,70.0,500.0,70.0,1000000.0,1.7,65.0,50.0,78.0,80.0,80.0,105.0,95.0,1.0,0.0
2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65.0,5120.0,70.0,315.0,65.0,1000000.0,1.2,90.0,50.0,79.0,40.0,40.0,15.0,36.0,1.0,0.0
2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75.0,5120.0,70.0,590.0,180.0,1000000.0,1.6,95.0,50.0,80.0,130.0,80.0,30.0,78.5,1.0,0.0
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35.0,5120.0,70.0,325.0,70.0,1000000.0,0.3,25.0,50.0,81.0,95.0,55.0,45.0,6.0,1.0,0.0
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60.0,5120.0,70.0,465.0,95.0,1000000.0,1.0,50.0,50.0,82.0,120.0,70.0,70.0,60.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,5120.0,70.0,377.0,55.0,1000000.0,0.8,52.0,50.0,83.0,58.0,62.0,60.0,15.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85.0,5120.0,70.0,310.0,45.0,1000000.0,1.4,35.0,50.0,84.0,35.0,35.0,75.0,39.2,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110.0,5120.0,70.0,470.0,70.0,1000000.0,1.8,60.0,50.0,85.0,60.0,60.0,110.0,85.2,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45.0,5120.0,70.0,325.0,55.0,1000000.0,1.1,65.0,50.0,86.0,45.0,70.0,45.0,90.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70.0,5120.0,70.0,475.0,80.0,1000000.0,1.7,90.0,50.0,87.0,70.0,95.0,70.0,120.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80.0,5120.0,70.0,325.0,50.0,1000000.0,0.6,80.0,50.0,88.0,40.0,50.0,25.0,15.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105.0,5120.0,70.0,500.0,75.0,1000000.0,0.6,105.0,50.0,89.0,65.0,100.0,50.0,15.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65.0,5120.0,70.0,305.0,100.0,1250000.0,0.3,30.0,50.0,90.0,45.0,25.0,40.0,4.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95.0,5120.0,70.0,525.0,180.0,1250000.0,1.5,50.0,50.0,91.0,85.0,45.0,70.0,132.5,1.0,0.0
0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35.0,5120.0,70.0,310.0,30.0,1059860.0,1.3,30.0,50.0,92.0,100.0,35.0,80.0,0.1,1.0,0.0
0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50.0,5120.0,70.0,405.0,45.0,1059860.0,1.6,45.0,50.0,93.0,115.0,55.0,95.0,0.1,1.0,0.0
0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65.0,5120.0,70.0,600.0,80.0,1059860.0,1.5,60.0,50.0,94.0,170.0,95.0,130.0,40.5,1.0,0.0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45.0,6400.0,70.0,385.0,160.0,1000000.0,8.8,35.0,50.0,95.0,30.0,45.0,70.0,210.0,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48.0,5120.0,70.0,328.0,45.0,1000000.0,1.0,60.0,50.0,96.0,43.0,90.0,42.0,32.4,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73.0,5120.0,70.0,483.0,70.0,1000000.0,1.6,85.0,50.0,97.0,73.0,115.0,67.0,75.6,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105.0,5120.0,70.0,325.0,90.0,1000000.0,0.4,30.0,50.0,98.0,25.0,25.0,50.0,6.5,1.0,0.0
